observation_id,Omsattning,Verksamhet,GeografisktOmrade,Ar,Forsakringsbelopp,Sjalvrisk,Duration,AntalSkador,predicted_claim_rate,predicted_claim_count,rate_ci_low_95,rate_ci_high_95,rate_ci_width_95,relative_ci_width_95
258730,771681000.0,Byggföretag,Storstad,2025.0,98414000.0,20000.0,0.2612928510696192,0,0.31097014288914154,0.08125427523303067,0.28998501671751564,0.33886519290393685,0.04888017618642121,0.1571860749469013
48789,403665000.0,VVS,Storstad,2025.0,35653000.0,20000.0,0.8416593155787359,0,0.29726759593347357,0.25019804133710355,0.2746826849868182,0.30432648878827934,0.029643803801461144,0.09972093900236345
182648,364548000.0,Övriga specialistföretag,Storstad,2025.0,93560000.0,20000.0,1.0,0,0.20699840047436263,0.20699840047436263,0.19037109073134817,0.2194800185277884,0.029108927796440226,0.14062392622229683
87140,241499000.0,Takarbeten,Storstad,2025.0,4634000.0,20000.0,0.925077448397339,0,0.15335959104444646,0.14186949917065594,0.14037421414814802,0.16404275873433086,0.023668544586182838,0.15433364437782868
8728,174275000.0,Takarbeten,Storstad,2025.0,25881000.0,20000.0,1.0,0,0.14771278554429032,0.14771278554429032,0.13670893687318392,0.15900179589502206,0.02229285902183814,0.1509203075393486
254072,200711000.0,Takarbeten,Storstad,2025.0,8757000.0,20000.0,1.0,0,0.1462808523174402,0.1462808523174402,0.13476193645367981,0.15682760021670555,0.02206566376302574,0.15084451186503636
199046,286171000.0,VVS,Storstad,2025.0,1365000.0,20000.0,0.3890657118703977,0,0.1936374948347669,0.07533770977268903,0.1784361793526233,0.20036255090976715,0.02192637155714386,0.11323412119049509
105658,290817000.0,VVS,Storstad,2025.0,11613000.0,20000.0,1.0,0,0.2300838912820229,0.2300838912820229,0.21379822058367903,0.23505225195499696,0.021254031371317927,0.09237513870654258
203466,248962000.0,VVS,Storstad,2025.0,22386000.0,20000.0,0.5731042792642866,0,0.22320245547114456,0.12791828237280933,0.20738937582966502,0.2280734336415529,0.020684057811887868,0.09266949043292172
967,286332000.0,Elektriker,Storstad,2025.0,54264000.0,20000.0,1.0,0,0.12344184840295545,0.12344184840295545,0.11183038339501777,0.1324848853112099,0.020654501916192114,0.16732171612311666
