observation_id,Omsattning,Verksamhet,GeografisktOmrade,Ar,Forsakringsbelopp,Sjalvrisk,Duration,AntalSkador,predicted_claim_rate,predicted_claim_count,rate_ci_low_95,rate_ci_high_95,rate_ci_width_95,relative_ci_width_95
170633,54374000.0,Takarbeten,Småstad,2025.0,2857000.0,250000.0,1.0,0,0.014962253536646104,0.014962253536646104,0.013182259140206208,0.016520452515766795,0.0033381933755605876,0.2231076600449632
217709,51236000.0,Takarbeten,Småstad,2025.0,1594000.0,250000.0,1.0,0,0.013860958677447043,0.013860958677447043,0.012235517181197973,0.015327703578820738,0.003092186397622765,0.22308604113033068
225174,62835000.0,Takarbeten,Småstad,2025.0,5893000.0,250000.0,1.0,0,0.017065363118947175,0.017065363118947175,0.014995822229639546,0.018788403761091723,0.003792581531452177,0.22223854863313072
245057,50783000.0,Takarbeten,Småstad,2025.0,527000.0,250000.0,1.0,0,0.012651694813565024,0.012651694813565024,0.011205184284121025,0.014010456124048729,0.0028052718399277036,0.2217309128354818
87156,10999000.0,Takarbeten,Småstad,2025.0,3729000.0,50000.0,1.0,0,0.011541652422681127,0.011541652422681127,0.010093852554667639,0.012643004133210007,0.002549151578542368,0.2208653912963877
11069,71584000.0,Takarbeten,Småstad,2025.0,5578000.0,250000.0,1.0,0,0.018177433595963976,0.018177433595963976,0.015968698359005693,0.01997688999767391,0.004008191638668217,0.22050371508760044
75977,14037000.0,Takarbeten,Småstad,2025.0,5971000.0,50000.0,0.1948814269877888,0,0.013585431279094428,0.002647548233914463,0.011840255558412002,0.014822593105356816,0.002982337546944814,0.21952468682640228
271908,11830000.0,Takarbeten,Småstad,2025.0,3949000.0,50000.0,1.0,0,0.01203872245718158,0.01203872245718158,0.010531197738257017,0.013172993256408852,0.0026417955181518345,0.2194415169506543
273044,12964000.0,Takarbeten,Småstad,2025.0,4562000.0,50000.0,0.5320421941584719,0,0.012765952168341277,0.006792025202166395,0.01115844384272607,0.013948336727426833,0.0027898928847007627,0.21854169966416714
219644,10099000.0,Takarbeten,Småstad,2025.0,2381000.0,50000.0,0.2357045171740802,0,0.010661769601677439,0.002513027256184666,0.009376555538102642,0.011699085160235713,0.002322529622133071,0.21783716108137083
