observation_id,Omsattning,Verksamhet,GeografisktOmrade,Ar,Forsakringsbelopp,Sjalvrisk,Duration,AntalSkador,predicted_claim_rate,predicted_claim_count,rate_ci_low_95,rate_ci_high_95,rate_ci_width_95,relative_ci_width_95
222345,238000.0,Målare,Småstad,2025.0,74000.0,20000.0,0.954697587206725,0,0.0008960443223951441,0.000855451352620929,0.000826363155376081,0.0009756925453702447,0.00014932938999416372,0.16665402175084745
219825,235000.0,Målare,Småstad,2025.0,50000.0,10000.0,1.0,0,0.0010922072638211474,0.0010922072638211474,0.0010179900360578016,0.00118169568383267,0.00016370564777486835,0.14988514835740527
165141,266000.0,Målare,Småstad,2025.0,50000.0,10000.0,0.9951697791313254,0,0.0011645066824014785,0.001158881857922432,0.00108725673680936,0.001258456004940777,0.00017119926813141694,0.1470144145316238
214414,156000.0,Målare,Småstad,2025.0,50000.0,5000.0,0.7933470849636868,0,0.0011179229569548083,0.0008869009191140823,0.0010415443223195308,0.0012134426619733903,0.00017189833965385948,0.15376581953563767
59438,205000.0,Elektriker,Småstad,2025.0,93000.0,20000.0,1.0,0,0.0009125482249936572,0.0009125482249936572,0.0008516439320440663,0.0010240738507143932,0.00017242991867032686,0.18895430832877394
222033,247000.0,Målare,Småstad,2025.0,63000.0,10000.0,1.0,0,0.0011411819170263117,0.0011411819170263117,0.0010609821226734303,0.0012339765297277028,0.00017299440705427255,0.15159231361206707
103599,402000.0,Målare,Småstad,2025.0,71000.0,20000.0,0.9833283760398412,0,0.0011713339053178557,0.0011518058669166122,0.0010887628986613696,0.0012691983391834962,0.00018043544052212665,0.15404270268533146
231918,253000.0,Målare,Mellanstorstad,2025.0,50000.0,20000.0,0.4078120575037225,0,0.0014448612051438678,0.0005892318208770289,0.001365451476256509,0.0015481508249812282,0.00018269934872471917,0.12644768097744546
218423,258000.0,Målare,Mellanstorstad,2025.0,50000.0,20000.0,0.7584333509669219,0,0.0014595622100223532,0.0011069806578919395,0.0013797244672723616,0.001563817981879504,0.00018409351460714246,0.1261292689979436
56352,164000.0,Målare,Landsbyggd,2025.0,50000.0,10000.0,1.0,0,0.0012558389723582775,0.0012558389723582775,0.0011765379358098303,0.0013631033526250859,0.00018656541681525557,0.14855839078230998
