feature,coefficient,rate_multiplier,percent_effect
num__log_Omsattning,0.5172845846687146,1.6774664416210845,67.74664416210845
cat__Verksamhet_VVS,0.36675287273823504,1.443041260211674,44.3041260211674
cat__GeografisktOmrade_Storstad,0.3451041758490683,1.4121370225785685,41.21370225785685
cat__GeografisktOmrade_Mellanstorstad,0.15119013369902568,1.1632178039613517,16.321780396135168
cat__Verksamhet_Takarbeten,0.13785521084265528,1.1478093478940439,14.780934789404387
num__log_Forsakringsbelopp,0.07832588962841112,1.0814750427476234,8.14750427476234
cat__Verksamhet_Övriga specialistföretag,-0.013307672969125175,0.9867804826289013,-1.3219517371098721
cat__Verksamhet_Grävning & Schaktning,-0.12377010922940322,0.883582945100099,-11.641705489990095
cat__GeografisktOmrade_Småstad,-0.32567937696516724,0.7220366519059064,-27.796334809409363
num__log_Sjalvrisk,-0.3393959951367065,0.7122003653599424,-28.779963464005764
cat__Verksamhet_Elektriker,-0.3613645165094041,0.6967249844141942,-30.327501558580582
cat__Verksamhet_Målare,-0.43892553372780874,0.6447287883917082,-35.527121160829175
