namn,max_depth,learning_rate,best_iter,val_deviance,portfolio_err_pct
shallow-fast,3,0.1,231,40918.10951448977,-3.547122099361917
shallow-slow,3,0.03,815,40918.47779452801,-3.545015120042233
medium-slow,5,0.03,639,40932.2407092154,-3.272120951730628
baseline,5,0.05,413,40932.71243870258,-3.4291133257207123
deep-slow,8,0.03,525,40998.99870760739,-1.856607415419574
deep-fast,8,0.1,149,41003.88979755342,-1.2295434722732281
